method,query_issue,target_issue,target_rank,candidate_count,latency_ms,query_title,target_title,shared_labels,top_issue_numbers
rerank,107829,100454,1,20,716.305,SkColorFiter/ImageFilter to DlColorFilter/ImageFilter,"Switch layers to DlImageFiter, DlColorFilter, and DlColorSource objects",engine,100454|85195|46460|67528|46789|60678|13868|98798|45332|102560
rerank,108180,108181,,20,629.248,"[tool_crash] FileSystemException: Failed to decode data using encoding 'utf-8', null","[tool_crash] FileSystemException: Failed to decode data using encoding 'utf-8', null",r: duplicate,65021|90028|106953|99954|96167|86320|102879|81666|79748|107352
rerank,108254,105897,1,20,580.495,Add barcode icon to `Icons` class,Mismatches on Material icons,f: material design|framework,105897|76580|102560|68436|105014|56607|31373|90135|53229|81666
rerank,109621,93153,1,20,1132.41,iOS app crash when toggle airplane mode in debug,[iOS] App crashes when toggling data on physical device in debug mode,,93153|106248|76705|78099|91589|78342|93050|98913|79949|97489
rerank,109623,89914,1,20,1537.22,Changing the `SystemUiMode` results in a stuttery keyboard opening animation on Android,SystemUiMode.edgeToEdge bottom viewInset jumps when keyboard is opening,a: text input|framework|has reproducible steps,89914|97253|77043|98720|80961|103086|51875|81029|90961|100522
rerank,111076,93635,1,20,8263.911,"Error waiting for a debug connection: The log reader stopped unexpectedly, or never started.",Error waiting for a debug connection: The log reader stopped unexpectedly. Error launching application on Windows.,,93635|76777|84503|78099|80418|76705|93050|104384|59312|82354
rerank,111970,101962,3,20,739.418,[tool_crash] RPCError,"[tool_crash] RPCError Oops; flutter has exited unexpectedly: ""_flutter.screenshotSkp: (-32000) Could not capture SKP screenshot."".",,80418|81287|101962|99954|78342|59757|85220|106248|60495|93050
rerank,113174,111660,1,20,655.063,EditableTextState.toggleToolbar (package:flutter/src/widgets/editable_text.dart:3123),Forced Null Dereference causing crash in editableTextState,,111660|103520|106248|91589|81029|103086|93887|96156|98720|97253
rerank,113594,56607,20,20,21138.096,"Flutter on linux ignores the DART_VM_OPTIONS environment variable, meaning it is impossible to use Flutter on linux behind a corporate proxy",Add a flag to flutter pub/packages to use a self-signed cert file,team-tool|tool|triaged-tool,104989|80402|76768|81650|83596|102994|97242|79748|108181|95916
rerank,113965,98720,1,20,105865.453,Unexpected selection behavior in the TextField widget.,"[Android] TextField cursor doesn't move to tapped position, but converts into text selection mode after selecting input mode from virtual keyboard.",,98720|106659|113174|103520|40648|111660|81029|80961|90961|98342
rerank,114058,110331,1,20,860.561,App is crashing continously in IOS device,Rendering high resolution images with the Image widget results in an app crash on iOS,,110331|109621|79949|93153|100522|77581|106248|107352|54213|91589
rerank,115667,95142,8,20,824.812,"[tool_crash] ProcessException: No such file or directory Command: google-chrome, OS error code: 2","[tool_crash] ProcessException: No such file or directory Command: /Applications/Google Chrome.app/Contents/MacOS/Google Chrome, OS error code: 2 when using custom devices",,80418|81287|80933|86320|85751|96167|99954|95142|91589|106248
rerank,116082,115832,18,20,3127.531,[go_router] 5.2.0 can't enter same path again,[go_router] Navigating back does not update router location since go_router 5.2.0,,59770|85220|66224|113965|106953|59757|98066|102879|54213|93050
rerank,116247,90135,6,20,663.753,font not properly shown. while using the Open Sans Font.,Replacement character inserted after ellipsis on web,,105014|76580|102560|115359|105897|90135|81029|91752|110331|75613
rerank,116261,98342,3,20,1006.385,TextField Paste option not work web mobile android chrome html render,[Android] TextField text selection toolbar not shown on long Press,,115359|98720|98342|103163|113965|103520|75076|90961|103086|80961
rerank,116712,81666,1,20,1243.242,FormatException: Missing extension byte (at offset 87),flutter build ios - Crash  - [tool_crash] FormatException : Missing extension byte (at offset 17),,81666|94060|100584|95604|85751|54213|108181|65021|79949|108812
rerank,118171,118170,1,20,9852.665,"Exoplayer giving exception- android.media.MediaCodec$CodecException: Error 0xfffffff4,com.google.android.exoplayer2.ExoPlaybackException: MediaCodecVideoRenderer error, index=0, format=Format(1, null, null, video/avc, avc1.64000A, -1, null, [432, 768, 28.372639], [-1, -1]), format_supported=YES","Exoplayer giving exception- android.media.MediaCodec$CodecException: Error 0xfffffff4,",,118170|81804|99273|48670|107352|110331|103204|100454|94999|109379
rerank,118494,61997,,20,891.139,"[tool_crash] FileSystemException: Cannot open file, OS Error: Operation did not complete successfully because the file contains a virus or potentially unwanted software., errno = 225","Advise user to add Flutter SDK, app project, pub cache, etc to antivirus allowlist",,86320|96167|85751|102879|54213|106953|108181|59770|65021|98066
rerank,120599,118947,2,20,989.469,[Impeller] Text rendering with border.,[Impeller & Skia] 0.25px separators rendering issue,P2|engine|platform-ios|team-engine|triaged-engine,61340|118947|88688|113965|119536|90135|115359|78009|76580|68436
rerank,121048,119536,1,20,690.021,Flutter Web is showing emojis in outline form instead of color,[web][3.7] Emojis are not properly rendered,,119536|62496|105897|98720|112181|102451|90135|14288|118947|80330
rerank,122692,96167,3,20,837.977,"[tool_crash] FileSystemException: Cannot open file, OS Error: No such file or directory, errno = 2","[tool_crash] FileSystemException: Cannot open file, OS Error: No such file or directory, errno = 2",,86320|118494|96167|54213|85751|106953|59770|98066|102879|99954
rerank,124503,103163,1,20,700.957,Paste triggers permission dialog every time on iOS 16,Flutter should support iOS 15's Secure Paste feature,,103163|103520|116261|61997|98720|14720|86565|98342|81029|97253
rerank,124869,124868,1,20,910.694,"[tool_crash] FileSystemException: Deletion failed, OS Error: The system cannot find the path specified., errno = 3","[tool_crash] FileSystemException: Deletion failed, OS Error: The system cannot find the path specified., errno = 3",r: duplicate,124868|106953|98066|85751|54213|59770|99954|65021|108181|118494
rerank,125123,116954,2,20,1771.512,'[FATAL:flutter/shell/platform/android/platform_view_android_jni_impl.cc(1327)] Check failed: fml::jni::CheckException(env). ,Engine crashes when AndroidView is used large size,,83596|116954|99954|87927|97242|62496|96167|95142|109621|115667
rerank,125807,115912,1,20,706.297,Support Tone-based Surfaces in Material 3,Support tone-based surface and surface container `ColorScheme` roles,,115912|102560|63619|14288|91372|53229|95604|77581|119536|31373
rerank,125981,126069,,20,723.354,Update Tooltip widget,Update tooltips to support Material 3,f: material design|framework,53229|115912|120599|102560|113174|105897|125807|81777|90135|118947
rerank,127835,99954,1,20,844.672,"[tool_crash] FileSystemException: Exists failed, OS Error: The filename, directory name, or volume label syntax is incorrect., errno = 123","[tool_crash] FileSystemException: Exists failed, OS Error: The filename, directory name, or volume label syntax is incorrect., errno = 123",,99954|85751|54213|124869|124868|106953|108181|65021|98066|86320
rerank,129241,100584,1,20,767.345,"[tool_crash] SocketException: Write failed, OS Error: Broken pipe, errno = 32","[flutter_tools] ""SocketException: Write failed (OS Error: Broken pipe, errno = 32)"" during `flutter create`",,100584|54213|85751|97489|99954|80418|102879|98913|81287|96167
rerank,131753,81804,3,20,8636.282,"[video_player] PlatformException(VideoError, Video player had error com.google.android.exoplayer2.ExoPlaybackException: MediaCodecVideoRenderer error)","[video_player] PlatformException VideoError, MediaCodecVideoRenderer error, `format_supported=NO_EXCEEDS_CAPABILITIES`",,125123|118171|81804|83596|99273|118170|85583|108181|48670|66413
rerank,133145,59770,11,20,672.509,"I have a problem installing Flutter (the doctor check crashed)     X Due to an error, the doctor check did not complete. If the error message below is not helpful, please let us know       about this issue at https://github.com/flutter/flutter/issues.     X FileSystemException: Cannot resolve symbolic links, path = 'D:\¦ں­ êêëيم ںé§¦يé\ ©ê¤ى\flutter\bin\flutter' (OS       Error: The system cannot find the path specified.","[tool_crash] FileSystemException: Cannot resolve symbolic links, path = 'D:\development\flutter' (OS Error: The system cannot find the file specified., errno = 2)",,80933|70216|80418|124868|124869|66224|102879|106953|98066|127835
rerank,134412,115359,1,20,611.449,Provide an option to show last typed character briefly in TextField when obscureText is true on IOS,Textformfield obscureText is not displayed as expected on iOS,,115359|103520|103086|121048|86565|81029|98720|40648|116261|90135
rerank,134731,96646,1,20,1304.594,[local_auth] Android throws auth_error.notAvailable instead of showing Dialog to enable pin-code,"[local_auth] ""authenticate"" with parameter ""useErrorDialogs = true"" does not open a dialog",,96646|83596|111076|97242|77581|76768|79748|102994|98913|100584
rerank,135199,132755,,20,699.314,"[MacOS 14.0 & Xcode15] ""failed to write to a file"" error during build",DT_TOOLCHAIN_DIR cannot be used to evaluate LD_RUNPATH_SEARCH_PATHS,e: OS-version specific,54213|108181|85751|99954|118494|65021|106953|100584|96167|98066
rerank,136126,14720,5,20,2214.555,"image_picker, unintended scrolling when taking photo and using brightness controls",Flutter can receive touches even when hidden behind another native ViewController,,122725|86652|67528|82602|14720|77043|97685|98798|79277|109381
rerank,136154,135301,1,20,1057.675,Make an option for Wrap widget to have the Expanded children to fill the remaining space,Wrap widgets according to minimum size and then stretch them to fill available width,,135301|14288|135903|86584|86565|75613|95604|98720|90063|80330
rerank,136867,98066,1,20,719.585,"[tool_crash] FileSystemException: Creation failed, OS Error: No such file or directory, errno = 2","[flutter_tools] FileSystemException: Creation failed, path = 'C:\path' (OS Error: The system cannot find the file specified. , errno = 2)",,98066|85751|127835|54213|99954|124869|124868|106953|108181|86320
rerank,138106,133465,1,20,751.743,Avoid opening Xcode every time app runs on physical device.,Long-term solution to replacing `ios-deploy`,,133465|125123|79949|93153|76768|81650|104989|109621|135199|79554
rerank,138583,106953,3,20,920.699,"[tool_crash] FileSystemException: Deletion failed, OS Error: The system cannot find the path specified., errno = 3","[tool_crash] FileSystemException: Deletion failed, OS Error: The system cannot find the path specified., errno = 3",,124869|124868|106953|98066|136867|127835|85751|54213|59770|99954
rerank,139301,40648,1,20,937.955,TextField with TextAlign.end imposes unintended behaviour when character before last one is a space.,Trailing space doesn't work with TextField with `TextAlign.right` or `TextAlign.center` or `TextAlign.end`,P2|a: text input|f: material design|framework|has reproducible steps|team-framework|triaged-framework,40648|138395|98720|137025|134412|136154|137411|86565|115359|90063
rerank,140035,97160,1,20,817.5,Windows plugin_test is 2.11% flaky,Windows build_tests flakes on `android_aot_release_android-arm64` failure,c: flake,97160|75617|96172|73355|31373|32719|103636|66224|33615|126362
rerank,142069,106659,3,20,695.792,BUG: DropdownButtonFormField input isn't clipped when focused/hovered.,DropdownButtonFormField InkWell spreads to error message,,135903|138395|106659|122725|81029|137411|40648|75076|98720|136126
rerank,144139,139861,2,20,802.635,Update intl library in flutter_localizations ,Version solving failed for `intl: 0.19.0` with `flutter_localizations`,,143696|139861|80418|82354|108812|95604|116712|70216|78342|97242
rerank,144768,138395,2,20,1022.297,"Often the TextField does not focus and not enabled, and text input is not possible.",TextFormField is not focused when tapping it again after entering Japanese characters without pressing done but closing keyboard,,142069|138395|81029|98720|139301|90961|115359|80961|98342|86565
rerank,144909,135903,1,20,1907.952,DropdownMenu's trailing icon padding cannot be changed,Optional padding for DropdownMenu's leadingIcon and trailingIcon,,135903|142069|105897|118947|139301|106659|137411|90135|140603|86584
rerank,145535,133585,2,20,840.612,"[tool_crash] ProcessException: Failed to find ""git"" in the search path. Command: git, OS error code: 0",[flutter_tools] ProcessException trying to call git,,143391|133585|80933|80418|81287|124868|124869|106953|138583|136867
rerank,146574,137411,2,20,970.254,ElevatedButton style applying wrong vertical padding,Incorrect vertical padding for `ElevatedButton` from `ButtonStyle`,,142069|137411|122725|135903|105897|119536|109623|89914|118947|78009
rerank,147509,137025,3,20,1100.164,Bad UTF-8 encoding (U+FFFD; REPLACEMENT CHARACTER) found while decoding string,[web]: Unicode char throws `Bad UTF-8 encoding (U+FFFD; REPLACEMENT CHARACTER)` error,,105659|105282|137025|103636|65021|108181|90135|81666|116712|115359
rerank,147747,79748,3,20,803.882,[tool_crash] HttpException,[tool_crash] HttpException,,143391|145535|79748|80418|81287|115667|85220|78099|95916|91589
rerank,148482,65021,1,20,940.537,"[tool_crash] FileSystemException: Failed to decode data using encoding 'utf-8', null","[tool_crash] FileSystemException: Failed to decode data using encoding 'utf-8', null",,65021|108181|127835|85751|54213|136867|96167|98066|118494|59770
rerank,149026,65021,1,20,824.572,"[tool_crash] FileSystemException: Failed to decode data using encoding 'utf-8', null","[tool_crash] FileSystemException: Failed to decode data using encoding 'utf-8', null",,65021|108181|54213|85751|124868|124869|136867|148482|138583|127835
rerank,149313,135552,1,20,877.36,[tool_crash] ExistingDartDevelopmentServiceException,[tool_crash] ExistingDartDevelopmentServiceException,,135552|80418|81287|111970|136867|106248|59757|85220|93050|91589
rerank,149406,148983,1,20,1909.26,UniqueKey().toString() behaves differently in debug and release mode,"`ValueKey<T>(..).toString()` doesn't work in `Release` mode, gives response as `Instance of 'ValueKey<T>'` in `3.22.0` and `3.22.1`",,148983|115359|139301|137025|106248|116712|93153|108181|126362|112181
rerank,149550,143391,1,20,825.497,"[tool_crash] ProcessException: Failed to find ""D:\Flutter\flutter\bin\cache\dart-sdk\bin\dartaotruntime.exe"" in the search path. Command: D:\Flutter\flutter\bin\cache\dart-sdk\bin\dartaotruntime.exe, OS error code: 0","[flutter_tools] ProcessException: Failed to find ""C:\flutter\bin\cache\dart-sdk\bin\dartaotruntime.exe"" in the search path",,143391|145535|80418|80933|81287|133585|98066|124869|124868|59770
